Ann	name given to women
mewl	to cry softly
mews	the tiny, high-pitched sound a cat or kitten makes.
mi	third tone
might	physical strength with which tasks may be accomplished;  also, used to indicate the possibility of an action
militate	to have a strong effect
mince	to cut into very small pieces
mind	reasoning and thinking entity
mined	extracted ore
miner	one who works in a mine
minor	low
mints	after dinner candies
missal	a book containing prayers or devotions
missed	did not connect
misses	to fail to hit
missile	an item that is thrown or shot as a weapon
mist	Visible watery vapor suspended in the atmosphere, at or near the surface of the earth; fog.
mite	microscopic arachnids
mitigate	to reduce the risk of
moan	a prolonged low sound indicating suffering
moat	water-filled ditch, usually around a castle
mock	to tease
mode	status
moire	optical A wave like appearance on a fabric
moll	Female Companion of a Criminal
mood	state of mind
mooed	The verb form to describe the sound of a cow
moor	an open piece of boggy overgrown wasteland
moose	a large animal in the deer family, with broad shoulders and antlers
moot	debatable
moral	a social expected norm
morale	sense of well-being
moray	tropical eels of the family Muraenidae
more	additional , greater
morel	an edible mushroom
morn	short for morning
morning	the hours of the day before noon
mote	tiny particle
mourn	to grieve over dead people
mourning	The act of grieving for those that have left us behind
mousse	a frothy, cold dessert, often incorporating whipped cream, eggs, or gelatin
mowed	a way to make things shorter by cutting them.
mown	sheer grass
mule	the baby of a donkey and a female horse
muscle	fibrous, a tissue made of cells.
muscles	what you get after lots of exercise
muse	To think of something calmly.
mussed	to ponder
mussel	edible marine bivalve
mussels	plural of mussel, the word used for many marine clams
must	to be compelled or required to do something
mustard	a pungent seed
mustered	Gathered; summoned; assembled.
mute	One who does not speak, whether from physical inability, unwillingness, or other cause. Specifically:    (a) One who, from deafness, either congenital or from early life, is unable to use articulate language; a deaf-mute
nap	a brief period of sleep
naught	nothing
naval	pertaining to ships, the sea, or something which has a navy
navel	abdominal indentation
nay	Negative response to some question.
nays	refusal
neap	spring tide
need	essential
neep	a commonly used scottish word for turnip
neigh	sound produced by a horse
neighs	horse talk
new	not used
news	information
nice	pleasant, kind, enjoyable
nickers	to make a soft horse-like sound
night	evening
nit	louse egg or derogatory term, nitwit
nits	the eggs of a parasite
no	refusal or non acceptance
nob	the head
nock	the ridge in an arrow
nod	gesture of the head
noes	plural of no
non	a prefix to a word meaning not
none	zero
nose	the smelling orifice of the face
not	A word used to express negation, prohibition, denial, or refusal.
now	this moment in time
nun	A female member of a religious order, usually bound by vows of chastity, poverty, etc.
oar	a wooden paddle used to manually propel or steer a boat.
obtain	to get or acquire
odd	unordinary
of	from something
off	the opposite of on
offal	cut up innards
oh	exclamation of surprise
ohs	an expression in conversation
one	single unit
oohs	exclaim in wonder
ooze	Muck
opposition	the enemy
or	Conjunction used to connect alternatives.
oracle	An agent or medium who is considered to give wise, prophetic, or otherwise influential pronouncements.
oral	spoken by mouth
ordinance	a law or commend
ordnance	weaponry
ore	A mineral, or group of minerals, from which a valuable material - usually metal - can be extracted for profit
ought	should; obliged to
our	expressing a state of ownership
ours	my possesion
overdo	to take too far
overdue	past a deadline, especially for payment
overhead placed above one's head
overheard obtained by listening to another conversation
owe	obligation to pay
owes	obliged to
paced	walk back and forth
packed	the process of loading goods into containers to make them easier to carry and to protect them while in transit, often in the process of moving
pact	promise
pail	container
pain	any unpleasant bodily sensation produced by illness, accident
pair	set of two people or things used together or regarded as a unit.
palate	the roof of the mouth
pale	to have light coloring
pall	A coffin shroud
pallet	a platform for transporting goods;  a makeshift bed
pallette	many colors
pane	an individual item of glass
pare	to remove by cutting
passable	good enough	
passed	opposite of fail
past	historic, already happened
paste	an adhesive for joining items together
patience	composure
patients	people receiving medical treatment
pause	to stop for a moment
pawl	A hinged or pivoted device adapted to fit into a notch of a ratchet wheel to impart forward motion or prevent backward motion.
paws	animal foot
pea	the round, edible seed of a widely cultivated plant, of the legume family.
peace	a lack of war or conflict, or the existence of harmony and general goodwill
peak	summit
peaked	to arrive at the top
peal	the sound of a ringing bell
pealed	sounded a bell
pear	edible fruit
pearl	Irritant created by an oyster
peasant	a common worker
pheasant	a type of bird
pedal	a lever operated by the foot
peddle	work as a street vendor
pee	To urinate
peek	a sneaked view
peeked	to have snuck a view
peel	to strip of fruit
peeled	having had the skin or shell removed before eating
peer	equal
pierce	poke through
pencil	an item made with lead for writing
pensil	a small pennon, as at the head of a lance.
per	for each, for every
perl	a computer programming language destined for greatness
pursue	chase
peruse	examine thoroughly
phantom	a ghost
pharoah	title of ancient Egyptian kings of all periods
phase	stage of time; period
phased	sequenced
phew	expression of relief, astonishment, weariness
phial	small bottle, often for medicine
philter	a potion that is supposed to make the person taking it fall in love with a specific individual
phlox	a type of plant
phrase	a sequence of two or more words
physical	of the body
pi	A Greek letter ([Pi], [pi]) corresponding to the Roman letter
picnic	involves baskets, bears, and ants
pidgin	A rudimentary language made up to simplify communication, usually a mixture of two different languages.
pie	a dessert
piece	a part of a whole
pieced	put together from smaller segments
pier	structure built on posts extending from land out over water
pigeon	a common urban bird; often considered annoying
pincer	limb used to pinch
pincher	a person who grabs another by connecting their index finger to their thumb and squeezing.
pinscher	a certain breed of terrier
pique	To cause to feel resentment or indignation
piqued	to have felt a desire
piste	ski trail over packed snow
pistil	A pistil (from Latin pistillum "pestle") is made up of a carpel (if single) or carpels (if fused). A flower with two or more fused carpels (called a compound ovary or compound pistil) is termed syncarpous
pistol	firearm
place	function
plaice	european flatfish
plain	Not decorated in any way; with nothing added. e.g. She wore a plain black dress.
plait	strands braided together
planar	even surface
plane	an area
planer	the act of being buoyed by the wind
plate	flat dish for serving food
pleas	an answer to a court charge
pleaded	begged
please	To give pleasure,satisfaction,or enjoyment to.
pleated	a feature to make slacks look dorky
pleural	having to do with the lungs
plum	purple fruit that when dried is called a prune
plumb	is a precise straight vertical or horizontal line
plural	two or more
polar	relating to the earth's poles or opposite in character
pole	a long cylinder made of wood, metal, or another substance
poled	a long thin stick of wood or metal, often used standing straight up in the ground to support things
poler	a person that uses poles
poll	a survey of voting
polled	hornless
pone	fried cornmeal bread
pony	small horse
pool	put together or a place for swimming
poor	without resources
popery	a belittleing term used to refer to Catholics
populace	the people who live here
populous	many people live here
pore	to look over carefully; a very small hole
pored	to look over carefully
portable	small enough to carry
portrait	a picture
portray	to make a likeness of
possible	it could happen
potable		safe to drink
potpourri	collection of various unrelated items.
pour	flowing or falling of any liquid
poured	to serve a glass of lemonade (or something else)
praise	to laud
pray	give praise to a deity
prays	meditate to a higher power
precedence	of high importance
precedents	making history
preposition	a word that connects an adjective to a noun (e.g., of, from, for)
presence	attendance or state of existence
presents	Gifts received or given
presidents	the chief officer, usually elected, of a country or organization
prey	to hunt
preys	hunting
pride	to be proud
pries	to force open
prince	a male member of a royal family who is not reigning
principal	primary person or thing
principals	multiple school masters
principle	a general law
principles	a set of general laws or values
prints	what a printer does
prize	something won
profit	To gain advantage; to make improvement; to improve; to gain; to advance.
prophet	seer; one who predicts the future
proposition	an idea or plan
precede	come before
proceed	continue as planned
pros	professionals
prose	everyday language, as opposed to poetry
prostate	a male organ
prostrate	to lay down on the ground
pryed	to open something
psi	mental telepathy
pull	to grab and bring in a certain direction
purl	a knitting stitch
purr	murmur of pleasure or hum made by a cat or motor
pyknic	fat, rounded build or body structure
quarts	32-ounce units
quartz	mineral
quay	a landing place built along the edge of the water; a wharf
queue	a line of people
quince	yellowish fruit
quints	short for quintuplets: a group of five offspring born of the same pregnancy
quire	a stash of paper with twenty sheets
quoin	an external solid angle of a wall or the like
rabbet	a deep notch
rabbit	Small, long-eared, burrowing mamal
rack	a stationary item on which to store things
racket	illegal scheme or loud din
racquet	bat with woven netting used in tennis, squash, badminton etc. to hit the ball
rain	The descent of such water
raise	to move to a higher position; lift up; elevate: to raise one's hand; sleepy birds raising their heads and looking about
rampant	widespread
rampart	a fortification
rap	a way to make noise fast.
rapped	make a sound with fist
rapt	engross
ray	beam of energy
rays	single line or narrow beam of lights from a small or distant source
raze	to demolish totally
re	a note used by musicians
read	to comprehend by looking at sources
reading	to make sense of written words, or to state them aloud
reads	understand written word
real	actual
recede	To make a stepmove backward
reck	disregarding the consequences or danger etc
red	The primary color at one extreme end of the visible spectrum, an effect of light with a wavelength between 610 and 780 nm.
rede	counsel
reed	a stalk
reeding	a small circular molding
reeds	types of water plants
reek	To have a strong or unpleasant smell.
reel	to bring in with a fishing line
register	the record
registrar	to record
reign	a dominating power or influence
reigns	to use sovereign power
rein	a strap, usually leather, used to steer a horse
reins	straps, usually leather, used to steer a horse
reseed	to plant after original seeding
resinate	To treat, permeate, or flavor with resin.
resisters	those who are rebelling against something
resistors	those who resist a trend or directive
resonate	sympathetic vibration of air that amplifys sound
rest	a period of inactivity or relaxation
retch	vomit
review	an examination or study
revue	musical plays
rheum	thin liquidy discharge
rheumy	watery eyes
rho	a greek alphabet
rhumb	point of a sea compass
rhyme	An expression of thought in numbers, measure, or verse; a composition in verse; a rhymed tale; poetry; harmony of language. ``Railing rhymes.'' --Daniel
ridged	a raised strip on a surface
rigid	stiff
rigger	someone who rigs ships
right	accurate
righting	to make correct
rigor	to use severity
rime	Opaque coating of tiny ice particles.
ring	a group or mob
ringer	someone who rings a bell
rise	to move upwards
rite	traditional event
road	a course with a smooth or paved surface, used for travel
roam	to be free to go about as you please
rode	past tense of ride:  to sit on or in something and travel, as in a bike, car, or train
roe	edible fish eggs
rogue	a scoundrel
roil	to make unclear
role	a function; a character in a play
roll	turn over
rood	a cross as used in crucifixion.
room	With walls partitioned space  in building.
roomer	A tenant or lodger who lives in a rented room.
roomie	colloquialism for roommate
roomy	spacious
root	the part of the plant that is underground
rooting	to cheer for
rose	pretty flower
rot	decomposition
rote	learn by heart
rouge	cosmetics with a reddish tint
rough	uneven or bumpy, not smooth, level, or polished. 2 shaggy or coarse-haired. 3 boisterous, coarse; violent, not mild, quiet
rout	completely destroy or force out
route	a path
routing	sending in the right direction
roux	flour and butter combined and cooked
row	to pull oars to move a vessel
rowed	the act of using ores
rows	an arrangement of horizontal elements, perpendicular to columns
royal	Something performed or issued by King, Queen or their family
rude	discourteous or impolite behaviour, without culture
rue	to regret, to wish to undo
rued	regretted
ruff	tall, ruffled or pleated collar
rum	alcoholic liquor or spirit distilled from molasses
rumor	not true talk of someone
rye	cereal grass
ryes	grass grown for grains
sachet	a small bag of powder
sacks	to fire someone
sacred	holy
said	To utter or pronounce in words (past participle form).
sail	fabric used on watercraft to catch the wind; to travel over water in wind-powered vessel
sails	multiple bits of fabric used to propel a wind powered vessel
sale	the act of selling, The quantity sold, The opportunity to sell
sales	the profession of selling
sane	not insane
saner	more mentally healthy
sashay	to show off
saver	One who is thrifty.
savor	flavour
sawed	to make back-and-forth motion
sax	a musical instrument
say	to express in words (follow with what is said)
says	to express in words (follow with what is said)
scared	afraid
scene	the place where some action is performed either in a stage or in a film or in some shows.
scent	a distinctive pleasing smell
scents	smells
scull	an oar mount
sea	large body of water
seal	authentication
sealing	joining together to prevent spillage
seam	line formed in stitching
seamen	workers on ships or watercraft; sailors
seams	several rows of stitching to prevent the material from fraying.
sear	scorch with heat or with sarcasm, for instance
seas	large bodies of water
sects	A faction united by a common doctrine
see	to perceive with the eyes
seed	The part of a plant that when placed in soil a new plant can grow from.
seeder	person or machine distributing seed into a garden or field
seeding	To sprinkle with seed; to plant seeds in; to sow; as, to seed a field.
seek	to search for
seel	to close (the eyes).
seem	To give a certain impression to others.
seems	outward apperance
seen	observed
seer	A person who foresees events; a prophet
sees	observes
seine	a vertical fishing net or a river in France
seiner	fisherman who use nets
seize	to take by force
sell	exchanged for monetary gain
seller	opposite of buyer
semen	fluid coming from the man's reproductive organs
sense	any of the faculties
since	from that time
senses	feelings and perceptions
sensor	a detector
sent	a smell
sere	Withered, dry
serf	a person in servitude
serge	a type of fabric
serial	sequential; in a series
series	a group of related, sequential events
servant	a domestic worker
serpent	a snake
session	a single period of a meeting
sew	to sew cloth together
sewer	The pipes and drains that convey waste water from a home or other building.
sex	the category by which organisms are classified on the basis of their reproductive organs and functions
shake	agitate
shall	will
she'll	she will
sheaf	a bundle of stuff
shear	to slice off
shears	cuts or trims
sheath	a knife case
sheave	to gather
sheer	transparent
sheers	to turn away swiftly
sheik	leader
shell	a hard outer covering
shill	A person who poses as an enthusiastic participant for personal gain or profit.
shiv	a bladed instrument
shoe	covered footwear
shoes	The plural form of shoe.  The shoe is worn for covering on the foot.
shone	the past tense of shine
shoo	to chase away
shoos	to scare or drive away
shoot	To send with force
shore	the the line between dry land and water
shown	the past tense of show
sic	incite to attack
sick	When someone is not feeling good, has a cold or more serious illness
sics	tells to attack
side	a each of the surfaces bounding an object. b vertical inner or outer surface
sigh	expulsion of breath as an utterance of weariness
sighed	breathed heavily
sighs	to yearn
sight	to see
sighted	having seen, or being able to see
sights	attractions or destinations
sign	An object, pattern, or event conveying a meaning.
signet	a seal of authenticity
sine	ratio of the side opposite a given angle (in a right-angled triangle) to the hypotenuse. [Latin *sinus]
sink	lower slowly, something to wash dishes in
site	a place
sited	geographic location of something
sites	ground chosen or used for a town or building.
six	number equalling half-dozen
size	spatial dimensions
skull	the bony part of the head
slay	to cause death
sleigh	mounted vehicle on runners
sleight	skillful dexterity
slew	turn or swing forcibly to a new position
slight	a small amount
sloe	a type of edible small fruit
slough	swampy area or condition of despair
slow	lacking speed
slue	to rotate
so	to such an extent (stop complaining so; so small as to be invisible; not so late as I expected). 2 in this or that way; in the manner, position, or state described or implied (place your feet so; am not cold but may become so)
soar	to fly high and for long duration
soared	rising high and gliding through the air
sod	the ground covered with grass.
sol	a musical tone
solace	relief
sole	being the only one
some	around
son	male offspring
sonny	a slang for a little boy
soot	black byproduct of burning
sordid	seedy
sore	body pain
sorted	neatly grouped by something in common
sou	money from the country of France
sough	A whinning,high low modualting way of speaking.
soul	the immortal part of a living being
soulless	lacking a soul;  generally used as a synonym for heartless, callous, or cruel
sow	planting seeds
sower	An adult female hog
spade	a small hand-held shovel
spayed	To remove or extirpate the ovaries of, as a sow or a bitch; to castrate (a female animal).
spoor	track
spore	germ cell or seed, capable of reproducing
stabile	fixed in position
staid	settled
stair	used to climb
stake	a stick or post, pointed at one end
stare	an intense gaze
starring	to have the lead role in a movie or play
staring		to gaze at
stared		gazed at
starred		held the lead role in a movie or play
statice	a bitter tasting herb
stationary	Someone or something that is not moving from one position.
stationery	paper used to write, print or draw on
statue	a 3D work of art (e.g., the Statue of Liberty)
status	distinction according to law
statute	a rule
stayed	remain in a place, or to cease
steak	thick slice of meat (esp. beef) or fish, usu. grilled or fried
steal	to take something illegally that is not yours
steel	strong malleable alloy of iron and carbon, used esp. for making tools, weapons, etc.
step	an action directed toward, particularly walking
steppe	extensive plain
stile	A step, or set of steps, for ascending and descending, in passing a fence or wall.
stoop	to bend over
storey	different levels of a building
story	account of an event
stoup	a basin that holds holly water in a church
straight	one that is not bent
strait	tight passage of water
style	A certain type or way
subside	to become less active
subsided	became less active
subsidize	to assist with the buying of something
subsidized	the price is less due to someone else helping
succor	rescue
sucker	an extension of growth from a main plant
sue	to bring legal action
suede	leather with soft, matte finish
suer	admirer
suit	cards of the same class
suite	group
sum	to add
summary	short version
summery	Relating to summer (season)
sun	a bright celestial body around which planets orbit
sundae	ice cream served with a topping
sunny	illuminated by the sun
sure	a true belief
surf	waves that break as they approach the shore (noun).
surge	A large wave or billow; a great, rolling swell of water, produced generally by a high wind
swayed	changed somebody's opinion
sweet	a taste that is not bitter, sour, or salty
sword	a hilted weapon with a long blade
symbol	thing regarded as typifying or representing something (white is a symbol of purity)
sync	in harmony
tach	an informal way to refer to a tachometer
tack	a small nail
tacks	nails
tact	social judgement
tail	hindmost part
tails	multiple hindmost parts
tailer	one who comes behind
tailor	somebody who sews clothes
tale	a story or narrative, usually short and often spoken aloud
tales	stories or narratives, usually short and often spoken aloud
taper	thinner towards one end
tapir	a mountain pig
tare	a cornfield weed or fodder
taught	tight
taunt	to tease
taut	drawn tightly
tax	charge against a citizen′s person or property or activity for the support of government
tea	a drink
team	A team comprises any group of people or animals linked in a common purpose. A group in itself does not necessarily constitute a team
teaming	Sports & Games A group on the same side, as in a game
tear	a drop of fluid in the eye
teas	herbal plants used for beverages
tease	to taunt
tee	little stick where a golf ball is placed
teem	to be prolific
teeming	large gathering
tees	football tee, golf tee
tell	to express in words (follow with who it is said to)
tenant	a renter
tenet	a belief
tenner	Common way to describe an English ten pound note.
tenor	continuous
tense	mental strain
tents	plural of a temporary shelter, often used for camping or basic survival
tern	beach bird
terne	alloy of lead and tin used for plating
than	used in comparisons
the	describing something previously mentioned
thee	archaic word for you
their	something that belongs to them
then	used to express a time
there	not here
they're	combination of they and are
therefor	for
therefore	as a consequence of
threw	to hurl an item from your hand
throe	wracking pain
throes	violent pang, esp. of childbirth or death
throne	The formal seat used by a ruler.
through	a function word
throw	to propel, project or hurl (usually an object) in some direction.
thrown	launched, usually using the arm
throws	To project something through the air
thyme	any of several herbs with aromatic leaves. [Greek thumon]
ti	a note used in music
tic	an involuntary spasm usually occurring in the face
tick	noise a clock usually makes; or a small bug
ticks	click sounds of a clock
tics	twitches or involuntary movements
tide	ocean movement at the shore
tie	stalemate
tied	binded
tier	rank, or unit of a structure, as one of several placed one above another (tiers of seats)
tighten	to make or become tight or tighter, To make something to be in strict situation.
timber	standing lumber
timbre	musical quality that distinguishes tone from similar sounds
time	Represents the so called 4th dimension of the world, system of measuring past, present and future
tire	to bore or make weary
tired	a state of sleepiness
titan	in mythology refers to any of the children of Uranus and Gaea
to	toward
toad	amphibian that lives on dry land and remembles a frog
tocsin	signaling sound
tocsins	an alarm bell
toe	any of the five terminal projections of the foot.
toed	things that possess toes
told	what was said
tole	metalware, enameled or laquered
toll	a charge for using a road
tolled	an alarm rang
ton	a unit of weight equal to 2000 pounds
tongue	a muscle within the mouth that facilitates taste and swallowing
too	as well as
toon	short name for a cartoon character
tort	civil wrong
torte	a sweet cake
tough	tough guy
tow	to pull forward
towed	tug ahead
toxin	poisonous substances that are products of metabolism in living beings
toxins	poison produced by an organism
tracked	followed footprints
tract	an area of land
tray	easily movable flat surface
trey	a domino, playing card or die showing three spots
tried	made an attempt
troop	group of soldiers
trooper	a police officer on horse back
troopers	law enforcement group
troup	a group (usually of actors)
trouper	a dependable person
troupers	members of a touring acting company
trussed	to bind in a secure fashion
trust	to believe
tuff	Volcanic rock
tune	To adjust the pitch of an instrument.
tung	an oriental seed
turn	to screw or unscrew
two	The sum of one and one; the number next greater than one, and next less than three; two units or objects.
tyer	person who ties or joins together
urn	a decorative vase that typically has a footed base or pedestal; often used to store ashes of the cremated
use	to consume or otherwise expend energy
vain	proud
vale	a low place, valley
vane	implement for wind watching
vantage	a position of advantage
vary	to make a change in many things.
veil	a transparent or opaque fabric worn to disguise or cover
vein	lines or streaks through things
verses	a set of phrases
versus	opposed
very	especially
vial	a small container
vice	A bad action or conduct.  Also could mean a subordinate or second in command like Vice President.
vicious	evil
viscous	a thick and sticky consistency (e.g., motor oil)
vile	wicked or morally bad
vintage	old
viol	a bowed musical instrument that has more strings than a violin
vise	a tool to squeeze with
wade	walk in shallow water or proceed laboriously
wail	lament
wain	archaic wagon.
waist	the narrow point between torso and hips
wait	to stay
waive	refrain from insisting on or using (a right, claim, opportunity, etc.).
waived	to have given up a right or interest in something
waiver	a written statement giving up a specified right or interest in something
wale	welt; A raised mark on the skin like an ridge.
wales	a european country
walk	to move the body by ways of moving the feet and legs
walks	journey on foot
wander	to travel
wandered	to have traveled
wandering	traveling
wane	to shrink in size
want	need for
watt	a unit of power
war	Agressive armed conflict between large number of people.
ware	things
wary	cautious
warn	to caution
warrantee	to whom a warrant is given
warranty	long term security
warship	a ship equipped with great weaponry
wary	Cautious of danger; carefully watching and guarding against deception, artifices, and dangers; timorously or suspiciously prudent; circumspect; scrupulous; careful. ``Bear a wary eye.''
waste	anything that is useless
wave	a disturbance on the surface of a liquid body, as the sea or a lake, in the form of a moving ridge or swell.
waved	raise hand, waggle left and right, as in saying hello or good bye
waver	to move in a to and fro motion
wax	wax: used to make candles.
way	path, street or direction of travel
ways	the possible actions or directions
we	nominative plural of I
we'd	contraction for we had, we should
we'll	contraction of "we" and "will"
we're	we are, us
we've	we have
weak	lacking in strength
weal	an itching or burning swollen place on the skin
weald	A wood or forest; a wooded land or region; also, an open country; -- often used in place names
wear	clothed
weary	tired
weather	climate
weave	wind together threads or strips of fabric to produce cloth
wee	tiny
weed	a plant that is unvalued
week	starts with sunday and ends with saturday
weigh	To measure the mass or weight of an object.
weighs	To find out the mass of an object
weighed	assigned a percentage of weight to
weight	a unit of heaviness for solid objects
weir	dam across a river to raise the level of water upstream or regulate its flow.
weld	fusing pieces of metal
welled	the result of continuous pouring
wen	a benign growth or tumor of the skin
were	in second person
wet	soaked
wether	A castrated male sheep or goat.
what	a question
whacks	multiple hits
whale	Large marine mammal; something large in proportion to others.
whales	multiple ocean mammals
wheel	round object
wheeled	having multiple wheels capable of motion
when	To describe the time or date that an event will occur
where	a location
wherry	a single-person rowboat
whet	sharpening or stimulating as in whet the appetite.
whether	whichever
whey	by product of cheese production
which	that
whig	member of the British reforming and constitutional party succeeded in the 19th c. by the Liberal Party
while	period of time
whiled	to occupy time spent waiting with an enjoyable activity
whine	to complain
whined	creaked
whir	a long sounding buzz
whirled	To turn round rapidly; to cause to rotate with velocity; to make to revolve.  He whirls his sword around without delay
whirred	produce a whirring or chirping sound
whit	humor
whither	to what end, point, action, or the like?
who	use instead of whom when the subject of the sentence
who's	Short form of who has or who is. e.g. Who's been chosen, do you know? Who's that talking to Jason?
whoa	to stop a horse
whole	complete
wholly	includes everything
whom	use instead of who when the object of a sentence
whore	a prostitute
whored	having sex with a prostitutes
whose	possessive case of who
why	For what cause or reason.
wield	To exercise, use, or employ power, a weapon, or an instrument.
wig	toupee
wild	unruly
wile	sneaky method or approach
wind	to twist around
wine	fermented fruit juice, usually grape
wined	drinking wine
wit	to be smart about something
witch	a person who professes magic
with	indicates combination, accompaniment, presence, or addition
wither	to shrink in size
woe	sorrow or grief
wok	a pan used for cooking
woks	cooking pan
won	To achieve first place in a competitive situation.
wonder	To ponder a question
wondered	To have pondered a question
wondering	pondering a question
won't	Contraction for will not.
wont	used to
wood	tulipwood - the variegated or showily striped ornamental wood
word	unit of language
wore	to wear
world	the total earth
worn	tattered
worship	to pay respect or honor to a religious being
worst	the opposite of best
would	will is a desire to do something.
wrack	intense pains
wrap	enclose in something
wrapped	covered
wreak	to cause an outcome
wreck	a crash site of something
wrest	take away by force or effort
wretch	a miscreant
wright	a skilled craftsman
wring	to compress
wringer	a machine that squeezes liquid out of something
write	to form characters or words so as to communicate
writing	to compose thoughts onto paper
wrote	past tense of write
wrought	made or created
wry	unusually twisted to one side
wurst	German sausage
wye	Y-shaped
xi	fourteenth letter of the greek alphabet.
y'all	You all as spoken by a Southern American
yack	chatting
yak	animal similar to an ox
yawl	a small boat, usually launched from a larger ship
yew	an evergreen tree
yews	a group of yew trees
yoke	an implement to attach more than one oxen to a cart
yokes	oxen harness
yolk	the middle of an egg
yolks	the yellow parts of eggs
yore	yesteryears
you	person other than I
you'll	the contraction of you will
you're	short for you are
your	that belongs to you
yule	A Northern European Time of celebration around Winter Solctice now connected with Christmas
