abandonment	abandon, leave behind
reproduction	reproduce, copy
repudiation	repudiate, prove to be right
reputation	repute, to consider, look on
requirement	require, need
resemblance	resemble, seem like
resentment	resent, resent
reservation	reserve, hold back
reshuffling	reshuffle, to arrange or organize anew
residence	reside, to live for an extended period
resident	reside, to live for an extended period
resignation	resign, quit, cease employment
resistance	resist, resist
resolution	resolve
resolution	resolve, resolve, come to a solution
respectability	respect, respectable
respondent	respond, give an answer, reply
restatement	restate
restitution	restore, give back
restoration	restore, give back
restoration	restore, like new
restriction	restrict, ensure something stays below a certain level
restructuring	restructure, reorganize
resumption	resume, begin again
resurgence	exist, be
resurrection	resurrect, bring back to life
retailing	retail, sell at retail
retaliation	retaliate, violence in return
retardant	retard, make slow
retardation	retard, make slow
retention	retain, keep
retirement	retire, stop working
retirement	retire, cease, end, as of debt
retrenchment	retrench, re)take a strong defensive position
retribution	retaliate, violence in return
reunification	unify, join together
reunion	reunite, unite again, bring back together
revamping	revamp, to revise, renovate
revelation	reveal, say something that used to be not known,   show
reverberation	
reverberation	reverberate, qualitative emission   of sound
reverberation	
reverberation	
reverence	respect, to regard highly
revision	revise, change, modify
revolution	change, transform
revolution	rebel, to refuse allegiance to
romance	love, object of affection
ruling	rule, decide
rumbling	rumor, work-of-art
sacking	sack, terminate employment
safekeeping	protect, shield from danger
sailing	sail, to move along, navigate
salvation	save, desperate peril sense
sanction	impose, be a bother
satisfaction	satisfy, make happy
saving	save, financial sense
saying	say, say
scaling	scale, change size
scapegoating	blame
scent	smell, emit an odor
scheduling	schedule, plan a time
screening	screen, to test, examine, sort
screening	screen, show a movie
seclusion	isolate, alone
security	contract, enter into a contract
security	secure, make secure
segmentation	segment, divide object into pieces
segregation	segregate, separate
selection	select, to make a choice, to pick out
selling	sell, commerce: seller
semblance	appear, come to be visible
sensation	sense, sense
sensation	trend
sentencing	sentence, assign criminal punishment
sentiment	opine, express an opinion
sentiment	feel, emote
separation	separate, separate
servant	serve, act, work
servicing	service, do things to
session	meet, get together with
setting	set, put, place
settlement	settle, resolve
settling	settle, resolve
settling	settle, come to rest, generally, or decline, of commodity prices
shareholding	own
sharing	share, share
shedding	shed, get rid of, remove
shipment	ship, send a package
shipping	ship, send a package
shooting	shoot, kill with gun
shooting	shoot, record on film
shopping	shop, look for something to buy
shouting	shout, talk very loudly
showing	show, cause to see
sighting	see, view
significance	signify, significant
signing	sign, affix a signature
similarity	differ, disagree, argue
simulation	simulate, make believe
sinking	sink, cause to) go down, esp into water
slapping	slap, hit with a flat object
slaying	slay, to kill violently
sledding	advance, move forward or upward
slowing	slow, fall, decline
smoking	smoke, smoke cigarettes
softening	soften, to make soft or softer
solicitation	solicit, request
solidarity	sympathize, to share the feelings or ideas
solution	solve, to find a solution to
solution	mix, mix, combine
souring	sour, make sour
spanking	hit
spanking	
spanking	
specification	specify, set, establish, decide
speculation	speculate, prognosticate
speeding	speed, cause to) go fast
spelling	spell, attribute
spending	spend, use money
squabbling	argue, argue with
stabilization	stabilize, to make stable
staging	stage, to perform or carry out
stagnation	stagnate, stagnate
stance	judge, make a judgement
standing	rank, assign a position in a list/attribute
statement	state, state, say
steering	steer, provide direction
sterilization	sterilize, to make free from live bacteria, to make inoffensive
stimulation	stir
stimulation	stimulate, cause an increase (in interest, etc
stirring	stir, move
stockholding	hold, grasp, bear
stocking	stock, store1
stocking	stock, store2
storytelling	tell, pass along information
streamlining	streamline, make smoother
strengthening	strengthen, make stronger
string	condition, to make dependent on a condition
student	study, examine closely
submission	submit, give
subscription	subscribe, like a magazine subscription, or belief system
subsidization	subsidize, to assist or support with a subsidy
substitution	substitute, exchange one thing for another
subtraction	subtract, mathematics
succession	succeed, take over for
succession	succeed, be subsequent to
suffering	suffer, suffer
suggestion	suggest, say
supervision	supervise, supervise
suppressant	suppress, attempt to) conceal, push down
suppression	suppress, attempt to) conceal, push down
surveillance	watch
suspension	suspend, put a stop to, temporarily
suspension	suspend, hang
suspicion	suspect, have a suspicion about something
sustainability	sustain, continue
sustenance	sustain, continue
swaying	sway, move
swearing	appoint
syndication	syndicate, distribute by proxy
taking	take, take, acquire, come to have
taping	tape, to record on magnetic tape
taxation	tax, government charging money
teaching	teach, try to) make learn
televising	televise, put on television
temptation	tempt, tempt, entice
tenant	rent, be a renter
tension	argue, argue with
termination	terminate, end, stop
termination	terminate, cause to cease employment
testing	test, check (for), examine
thinking	think, think
tightening	tighten, cause to be tight(er
timing	time, synchronize
tinkering	tinker, to mess around
toiling	toil, work endlessly
tolerance	tolerate, tolerate, put up with
tooling		prepare
tournament	compete, compete, vie
tracking	track, follow
trading	trade, exchange
trafficking	deal
trafficking	deal, play cards
training	train, teach a skill
transaction	transact, perform a transaction
transformation	transform, change
transfusion	transfer, transfuse
transition	transform, change
translation	translate, change (language
transmission	transmit, send (electronically
transplantation	transplant, move from one place to another
transportation	transport, move from one place to   another
treatment	treat, assume that something has a particular attribute
treatment	treat, medical treatment
treatment	treat, affect a change in s.t. by applying a substance
treatment	treat, handle
trepidation	worry, prepositional usage
tuition	price, cf cost
tuning	tune, to adopt or adjust
unbanning	ban, prohibit
undergirding	support, lend aid, credence to
understanding	understand, understand
understanding	agree, agree
understatement	understate, to state (a quantity, for example) that is too low
undertaking	undertake, to decide or agree to do
underwriting	underwrite, provide money
undoing		ruin 
unification	unify, join together
union		uinte, make into one
unity		unite, make into one
unraveling	unravel, cause to) fall apart
unsettlement	unsettle, cause anxiety
unveiling	unveil, display, show, reveal
upgrading	upgrade, improve
uprising	rise, go up
urging	urge, impelled action
usability	use, take advantage of, utilise
usurpation	usurp, to seize, take over
utility	serve, provide, give
utility	use, take advantage of, utilise
utilization	utilize, to put to use
utterance	utter, to pronounce or speak
vacancy		fill 
valuation	value, establish a cost, value
variation	vary, experience changes in scale
vengeance	avenge
ventilation	ventilate, allow air circulation
verification	verify, determine truth of a proposition
vindication	vindicate, to clear of accusation
violation	violate, break some rule
violence	hurt, violent
vision	see, view
voting	vote, cast a ballot
warming	warm, cause to) become warm1
warning	warn, give a warning
wasting	waste, destroy, use up needlessly
weakening	weaken, make or become weaker
wedding	wed, cause to be closely affiliated
weighting	weight, attribute
whoring	behave, to conduct (oneself) in a specified way
widening	widen, make wider
worsening	worsen, make or become worse
wrangling	wrangle, to argue
writing	write, set pen to paper
wrongdoing	do, act
yearning	desire, want, crave
